audio_name,class_name,class
"808 - Bounce_[11,0].wav",BASS,0
"808 - Earthquake_[6,0].wav",BASS,0
"808 - Polished_[6,1].wav",BASS,0
"808 - Simpler_[11,1].wav",BASS,0
"808 - Surround_[6,2].wav",BASS,0
"808 - The Resonant_[6,3].wav",BASS,0
"808 - Three Zero Three_[6,4].wav",BASS,0
"BASS - Bark_[6,12].wav",BASS,0
"BASS - Big Don_[9,2].wav",BASS,0
"BASS - Blades_[9,3].wav",BASS,0
"BASS - Brawler_[12,17].wav",BASS,0
"BASS - Breakdown_[8,11].wav",BASS,0
"BASS - Broken Square_[4,7].wav",BASS,0
"BASS - Buzzsaw_[9,4].wav",BASS,0
"BASS - Chameleon_[11,12].wav",BASS,0
"BASS - Chamfered_[12,18].wav",BASS,0
"BASS - Change_[5,5].wav",BASS,0
"BASS - Chips_[5,6].wav",BASS,0
"BASS - Crisp_[9,5].wav",BASS,0
"BASS - Croissant_[4,8].wav",BASS,0
"BASS - Crook_[6,13].wav",BASS,0
"BASS - Cubic Link_[6,14].wav",BASS,0
"BASS - Damage Dealer_[12,19].wav",BASS,0
"BASS - Demolition_[6,15].wav",BASS,0
"BASS - Dense_[6,16].wav",BASS,0
"BASS - Depth_[2,9].wav",BASS,0
"BASS - Depth_[7,14].wav",BASS,0
"BASS - Domino_[12,20].wav",BASS,0
"BASS - Donkey_[7,15].wav",BASS,0
"BASS - Double Dribble_[7,16].wav",BASS,0
"BASS - Double Up_[6,17].wav",BASS,0
"BASS - Drift King_[4,9].wav",BASS,0
"BASS - Drillmaster_[11,13].wav",BASS,0
"BASS - Embellishment_[2,10].wav",BASS,0
"BASS - Fat Donk_[9,6].wav",BASS,0
"BASS - Fat Funk_[7,17].wav",BASS,0
"BASS - Fearless_[7,18].wav",BASS,0
"BASS - Ferruginous_[12,21].wav",BASS,0
"BASS - Fifty Five_[11,14].wav",BASS,0
"BASS - Four_[4,10].wav",BASS,0
"BASS - Futurism_[11,15].wav",BASS,0
"BASS - Futurism_[13,3].wav",BASS,0
"BASS - Galactica_[11,16].wav",BASS,0
"BASS - Gecko_[7,19].wav",BASS,0
"BASS - Genesis_[7,20].wav",BASS,0
"BASS - Grease Gun_[12,22].wav",BASS,0
"BASS - Growler_[13,4].wav",BASS,0
"BASS - Hateful_[12,23].wav",BASS,0
"BASS - Hellraiser_[12,24].wav",BASS,0
"BASS - Hollow Gem_[4,11].wav",BASS,0
"BASS - Horse_[7,21].wav",BASS,0
"BASS - House of Acid_[4,12].wav",BASS,0
"BASS - Hybrid_[6,18].wav",BASS,0
"BASS - Hyper Reese_[11,17].wav",BASS,0
